TABLE NO.  1
 NUM             IPRED           NPDE            CWRES           DV              PRED            RES             WRES
    8.800000E+01    9.860860E+01    1.671163E-02    6.776323E-02    1.029800E+02    1.001639E+02    2.816081E+00    6.965660E-02
    8.900000E+01    8.982134E+01    2.361280E-01    4.071674E-01    1.000000E+02    9.140262E+01    8.597376E+00    3.941357E-01
    9.000000E+01    7.369297E+01    6.331026E-01    6.315543E-01    8.551900E+01    7.533137E+01    1.018763E+01    6.061366E-01
    9.100000E+01    5.392907E+01   -1.451407E+00   -1.465927E+00    4.015700E+01    5.558072E+01   -1.542372E+01   -1.389118E+00
    9.200000E+01    3.348614E+01    6.640369E-01    4.928406E-01    3.822500E+01    3.501602E+01    3.208976E+00    4.476057E-01
    9.300000E+01    2.816433E+01   -1.340876E-01   -2.066898E-01    2.828300E+01    2.962111E+01   -1.338112E+00   -1.996423E-01
    9.400000E+01    1.485805E+01   -5.828415E-01   -5.339337E-01    1.408300E+01    1.597804E+01   -1.895042E+00   -4.816528E-01
    9.700000E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    9.800000E+01    1.422871E+02    1.527380E+00    1.498388E+00    1.797300E+02    1.211901E+02    5.853987E+01    1.685803E+00
    9.900000E+01    1.876291E+02    3.673830E-01    1.453010E-01    1.886600E+02    1.694233E+02    1.923667E+01    1.526695E-01
    1.000000E+02    1.920696E+02   -7.170661E-01   -7.416251E-01    1.604100E+02    1.770923E+02   -1.668229E+01   -7.862936E-01
    1.010000E+02    1.871495E+02    4.178930E-02   -1.149689E-01    1.811400E+02    1.769216E+02    4.218354E+00   -1.194621E-01
    1.020000E+02    1.691284E+02    6.956203E-01    7.198655E-01    1.921900E+02    1.624983E+02    2.969172E+01    7.275390E-01
    1.030000E+02    1.540395E+02   -1.050837E+00   -8.455038E-01    1.264600E+02    1.485157E+02   -2.205569E+01   -8.492504E-01
    1.040000E+02    1.390600E+02   -3.673830E-01   -2.185925E-01    1.310300E+02    1.341155E+02   -3.085458E+00   -2.168334E-01
    1.050000E+02    1.262941E+02    4.215776E-01    4.267209E-01    1.347600E+02    1.216882E+02    1.307179E+01    4.360078E-01
    1.060000E+02    1.042559E+02    3.584588E-01    3.080690E-01    1.078500E+02    1.001158E+02    7.734227E+00    3.190919E-01
    1.070000E+02    7.622057E+01    1.501086E+00    1.679398E+00    9.862300E+01    7.255762E+01    2.606538E+01    1.730190E+00
    1.080000E+02    4.923700E+01   -9.410745E-01   -8.585612E-01    3.792000E+01    4.591998E+01   -7.999984E+00   -8.776784E-01
    1.090000E+02    4.256270E+01   -9.541653E-01   -9.869946E-01    3.153100E+01    3.933498E+01   -7.803985E+00   -1.012372E+00
    1.100000E+02    2.401597E+01    2.018935E-01    8.280451E-02    2.270200E+01    2.136596E+01    1.336036E+00    1.011123E-01
    1.110000E+02    1.468500E+01    1.427856E+00    1.841866E+00    1.899900E+01    1.267324E+01    6.325758E+00    1.916795E+00
    1.130000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    1.140000E+02    1.236217E+02    2.447285E-01    2.160294E-01    1.295200E+02    1.375830E+02   -8.063045E+00    1.609226E-01
    1.150000E+02    1.304732E+02    4.583978E-01    4.431163E-01    1.480400E+02    1.681064E+02   -2.006640E+01    2.203680E-01
    1.160000E+02    1.255975E+02   -6.689328E-02   -4.325997E-02    1.325400E+02    1.781006E+02   -4.556062E+01   -1.680572E-01
    1.170000E+02    1.192913E+02   -2.326348E+00   -2.896670E+00    5.831700E+01    1.762595E+02   -1.179425E+02   -2.027608E+00
    1.180000E+02    1.051670E+02   -1.158484E+00   -1.628423E+00    7.807300E+01    1.606622E+02   -8.258920E+01   -1.100831E+00
    1.190000E+02    9.395329E+01   -7.609839E-01   -9.812938E-01    8.180800E+01    1.443742E+02   -6.256617E+01   -6.684053E-01
